id,fetter_id,actor,milestone,reward,name,description
101,1,g:9,0,22006,朴素的魔女,“珍珠蒙尘，亦是珍珠。”
102,1,g:9;g:167,1,22003,追击的幽灵,“幽灵也不是都躲在阴影中。”
103,1,g:9;g:167;g:92,1,22001,定型的方案,“有计划地前进，至少你会知道失败的理由。”
104,1,,2,22002,美味的杂音,“要想人不知……”
105,1,g:167;g:92;g:7,2,22004,失败的启程,“人生是由成功与失败和失败组成的。”
106,1,g:9;g:167;g:92;g:7,2,22006,有价的援手,“可以，都可以，只要你给钱。”
107,1,g:9;g:167;g:92;g:7,3,22022,振翅的幼鸟,“努力是为了尽量不要留下遗憾。”
108,1,g:9;g:167;g:92;g:272,3,22023,无价的真心,“在记忆这方面，人形 与人是一样的。”
109,1,g:9;g:167;g:92;g:272,4,22024,魔女的夜晚,“听吧，这流淌在夜空中的乐声……”
110,1,g:9;g:167;g:92;g:7;g:272,5,22005,耀眼的前程,“就当做是学费吧——这话我可是提前说过的哦。”
111,1,g:9;g:167,6,22041,梦想的间奏,美好的事物需要形容，为它取个名字吧。
201,2,g:36;g:50,1,22001,庄家,“当李·恩菲尔德结束了一天的任务，回到令她安心的地方时，却发生了预料之外的事……”
202,2,g:36;g:50;g:48,1,22004,玩家,“李·恩菲尔德从未想过自己会加入这样的团体，尤其是这团体里还有比自己更格格不入的人……”
203,2,g:36;g:50;g:48,2,22005,下注,“任何事都是实际做起来要比听上去更难……李清楚这个道理，但她不想输。”
204,2,g:36;g:50;g:48,2,22006,叫牌,“这世界真是非常奇妙，尤其是当你以为你比别人技高一筹的时候。”
205,2,g:36;g:50;g:48,3,22022,赔率,“坦然地接受失败，并且吸取教训，为下一次的成功做准备——任何人都说得出这样漂亮的话，但失败的人肯定不是她。”
206,2,g:36;g:50;g:48;g:46;g:39,3,22005,分牌,“演员就位，帷幕拉开。”
207,2,g:36;g:50;g:48;g:46;g:39,3,22006,幸运女神,“这世界上没什么是不可战胜的，正因相信这一点，我才能赢到现在。”
208,2,g:36;g:50;g:48;g:46;g:39,4,22003,盲注,“狮子搏兔，狡兔三窟。”
209,2,g:36;g:50;g:48;g:46;g:39,4,22042,1v1,“当你凝视深渊的时候，深渊也在凝视你。”
210,2,g:36;g:50,5,22047,封牌,“生活并不是故事，又或是，在名为生活的故事里，人人都是主人公。”
301,3,g:96;g:297;g:155,1,22025,猎户座,“当你的朋友一反常态的时候，你最好做好心理准备……”
302,3,g:96;g:297;g:155,1,22003,镜面反射,“我当然知道自然而然是最好的办法，但谁又敢说保持自然就一定简单？”
303,3,g:96;g:297;g:155,1,22004,漫游指南,“如果我有一本人生指南书，我一定用它来决定我每天的晚饭。”
304,3,g:96;g:180;g:297;g:306;g:155,2,22006,万有引力,“有些吸引力，是命中注定的。”
305,3,g:96;g:180;g:297;g:306;g:155,2,22005,占星术,“如果这世界上每一件事都有意义，我一定会发疯的。”
306,3,g:96;g:180;g:297;g:306;g:155,3,22001,星象仪,“飞向宇宙//c浩瀚无垠”
307,3,g:96;g:180;g:297;g:306;g:155,3,22003,银河,“学会敬畏你所不了解的事物。”
308,3,g:96;g:180;g:297;g:306;g:155,4,22002,启明星,“决定自己的选择，决定自己的命运。”
309,3,g:96;g:180;g:297;g:306;g:155,4,22022,丽达兄弟,“永远不要在失去之后，才懂得珍惜无价的宝物。” 
310,3,g:96;g:180;g:297;g:306;g:155,5,22042,星空的记忆,“有形体的东西终将腐朽，无形体的意志却会永存。”
401,4,g:64;g:36,1,22006,迷迭香,“那两个人是格里芬后勤部的骄傲，贪心的人会想，如果她们合而为一会不会更强。”
402,4,g:64;g:36,1,22003,黑胡椒,“只有突发事件能够打破日常，并且带来一些从未有过的变化。”
403,4,g:64;g:36;g:216,2,22005,莓果浆,“一点火星就可以点燃一片草原，需要的只是一阵方向正确的风。”
404,4,g:64;g:36;g:216,2,22024,盐与糖,“有些事情的发展往往不如所想，美味的调料如果混在一起，味道反而会变得奇怪。”
405,4,g:36;g:104,3,22003,热牛奶,“春田总是善解人意的。”
406,4,g:64;g:216,3,22002,冰咖啡,“G36总是一丝不苟的。”
407,4,g:36;g:104,3,22022,蛋白质过量,“有时，太善解人意了。”
408,4,g:64;g:216,4,22023,咖啡因上瘾,“有时，太一丝不苟了。”
409,4,g:64;g:36,4,22026,调味,“你尝试过在西瓜上撒盐吗？”
410,4,g:64;g:36;g:104;g:216,5,22042,盐西瓜,“那是双倍的可口。”
