id,name,description,code,icon,type,gender,uniform_class,color_normal,color_0,color_1,color_2,color_3,color_4,skill_id,bone_name,rotation,scale,position,color_icon_id
1010,防毒面具,即使在末日也不能放弃自己，顺便在里面敷个面膜吧。,Head,commander_1010_icon,1,0,10,Commander_02_initial_a_1,,,,,,0,,0,0.0,,1
1020,头戴式矿灯,决定成为指引他人的明灯了吗？3//c2//c1——好，敌人看到你了！,HeadAcco,commander_1020_icon,2,0,10,Commander_02_initial_a_2,,,,,,0,HairBinder2,0,0.2,"-0.077,0.381",2
1030,脏污的大衣,对衣服来说脏污也未必不是一种荣耀，和人类的伤疤同理。,Body,commander_1030_icon,3,0,10,Commander_02_initial_a_3,,,,,,0,,0,0.0,,3
1040,沾上灰尘的徽章,我们迟早会擦掉这些灰尘，就像我们总会用血去洗刷耻辱。,BodyAcco,commander_1040_icon,4,0,10,Commander_02_initial_a_4,,,,,,0,BodyBinder2,0,0.2,"0.1,0.1",4
1050,破损的长裤,直到看见曙光之前，我们都要继续在血和泥土里跋涉……往好里想，我们可以到达终点再换掉这条裤子。,Foot,commander_1050_icon,5,0,10,Commander_02_initial_a_5,,,,,,0,,0,0.0,,5
1111,男性头部,职场短发，符合礼节而不减时尚。,Head1,commander_1111_icon,1,1,11,Commander_01_initial_b_male_1,,,,,,0,,0,0.0,,6
1112,女性头部,规矩的长发，温婉但容易挂到奇怪的东西。,Head2,commander_1112_icon,1,2,11,Commander_01_initial_b_female_1,,,,,,0,,0,0.0,,7
1120,格里芬定制贝雷帽,能让看见你的人迅速认出你的身份，这是它在装饰品之外起到的唯一作用。,HeadAcco,commander_1120_icon,2,0,11,Commander_01_initial_b_2,,,,,,0,HairBinder2,0,0.2,"-0.1,0.5",8
1131,制服大衣（男）,具备优良的吸湿性能，使你不会在敌方面前汗流浃背。,Body1,commander_1131_icon,3,1,11,Commander_01_initial_b_male_3,,,,,,0,,0,0.0,,9
1132,制服大衣（女）,具备优良的保暖性能，使你不会在敌方面前脊背发凉。,Body2,commander_1132_icon,3,2,11,Commander_01_initial_b_female_3,,,,,,0,,0,0.0,,10
1140,新人任职徽章,这是你得到的第一份荣誉，珍惜它吧。,BodyAcco,commander_1140_icon,4,0,11,Commander_01_initial_b_4,,,,,,0,BodyBinder2,0,0.2,"0.1,0.1",11
1151,黑色长裤,看起来普通的长裤，但非常耐磨。,Foot1,commander_1151_icon,5,1,11,Commander_01_initial_b_male_5,,,,,,0,,0,0.0,,12
1152,黑色短裙,看起来普通的职场短裙，但其实是方便行动的裙裤。,Foot2,commander_1152_icon,5,2,11,Commander_01_initial_b_female_5,,,,,,0,,0,0.0,,13
1211,夏日休闲男性头部,为了度假拍照特别修剪的发型，帅气而不厚重。,Head1,commander_1211_icon,1,1,12,commander_30010_N,commander_30010_0,commander_30010_1,commander_30010_2,commander_30010_3,commander_30010_4,0,,0,0.0,,"14,15,16,17,18,19"
1212,夏日休闲女性头部,为了度假拍照特别修剪的发型，美丽而不拖沓。,Head2,commander_1212_icon,1,2,12,commander_30010_N,commander_30010_0,commander_30010_1,commander_30010_2,commander_30010_3,commander_30010_4,0,,0,0.0,,"20,21,22,23,24,25"
1220,轻便海滩眼镜,即使是人造的阳光，也应当给它以尊重。,HeadAcco,commander_1220_icon,2,0,12,commander_30020_N,commander_30020_0,commander_30020_1,commander_30020_2,commander_30020_3,commander_30020_4,0,HairBinder2,0,0.2,"-0.045,0.272","26,27,28,29,30,31"
1231,健身成果（男）,承受漫长的折磨，正是为了这短暂的展示时间。来吧，不要羞涩地露出你的肌肉！,Body1,commander_1231_icon,3,1,12,commander_30030_N,commander_30030_0,commander_30030_1,commander_30030_2,commander_30030_3,commander_30030_4,0,,0,0.0,,"38,39,40,41,42,43"
1232,双绑带比基尼,肆意欣赏吧！这健美的身材，正是你一次次跨越死亡的根本。,Body2,commander_1232_icon,3,2,12,commander_30030_N,commander_30030_0,commander_30030_1,commander_30030_2,commander_30030_3,commander_30030_4,0,,0,0.0,,"44,45,46,47,48,49"
1240,夏日情怀配件,用最复杂的方式去享受最简单的快乐，这就是仪式感。,BodyAcco,commander_1240_icon,4,0,12,commander_30040_N,commander_30040_0,commander_30040_1,commander_30040_2,commander_30040_3,commander_30040_4,0,RHandLayer,0,0.2,"0.127,0.026","32,33,34,35,36,37"
1251,平角沙滩短裤,宽松的短裤，适合享受阳光和沙滩。,Foot1,commander_1251_icon,5,1,12,commander_30050_N,commander_30050_0,commander_30050_1,commander_30050_2,commander_30050_3,commander_30050_4,0,,0,0.0,,"50,51,52,53,54,55"
1252,沙滩休闲鞋,可以愉快享受沙滩的鞋子，离开前记得冲洗干净。,Foot2,commander_1252_icon,5,2,12,commander_30050_N,commander_30050_0,commander_30050_1,commander_30050_2,commander_30050_3,commander_30050_4,0,,0,0.0,,"56,57,58,59,60,61"
1310,特种防护服头盔,保护头部的部件，可以顺便防御背后的闷棍。,Head,commander_1310_icon,1,0,13,Commander_1310_N,Commander_1310_0,Commander_1310_1,Commander_1310_2,Commander_1310_3,Commander_1310_4,0,,0,0.0,,"62,63,64,65,66,67"
1320,特种防护面罩,保护面部的部件，可以顺便防御正面的耳光。,HeadAcco,commander_1320_icon,2,0,13,Commander_1320_N,,,,,,0,HairBinder2,0,0.2,"-0.057,0.168",68
1330,特种防护服上衣,保护躯干的部件，可以顺便防御背刺和腹击。,Body,commander_1330_icon,3,0,13,Commander_1330_N,Commander_1330_0,Commander_1330_1,Commander_1330_2,Commander_1330_3,Commander_1330_4,0,,0,0.0,,"69,70,71,72,73,74"
1340,军用背包,大容量的背包，设计得宜，不会让你感觉过于沉重。,BodyAcco,commander_1340_icon,4,0,13,Commander_1340_N,,,,,,0,BodyBinder1,0,0.2,"-0.177,-0.038",75
1350,特种防护服下装,保护腿脚的部件，可以顺便防御扫堂腿和喜好抱大腿的ELID。,Foot,commander_1350_icon,5,0,13,Commander_1350_N,Commander_1350_0,Commander_1350_1,Commander_1350_2,Commander_1350_3,Commander_1350_4,0,,0,0.0,,"76,77,78,79,80,81"
1411,夏夜清爽背头,为了享受夏夜而生的清爽短发，让额头也被风亲吻吧。,Head1,commander_1411_icon,1,1,14,Commander_1411_N,Commander_1411_0,Commander_1411_1,Commander_1411_2,Commander_1411_3,Commander_1411_4,0,,0,0.0,,"82,83,84,85,86,87"
1412,流影簪花编发,为了享受夏夜而生的优雅编发，让风亲吻你的脸颊吧。,Head2,commander_1412_icon,1,2,14,Commander_1412_N,Commander_1412_0,Commander_1412_1,Commander_1412_2,Commander_1412_3,Commander_1412_4,0,,0,0.0,,"107,108,109,110,111,112"
1420,夏夜祭典头饰,我们正试图用临时制造的饰物来欺骗观察我们数千年的夜晚。,HeadAcco,commander_1420_icon,2,0,14,Commander_1420_N,Commander_1420_0,Commander_1420_1,Commander_1420_2,Commander_1420_3,Commander_1420_4,0,HairBinder2,0,0.2,"-0.137,0.207","100,101,102,103,104,105"
1431,夏夜浴衣上装,轻便的浴衣，具有良好的透气性。,Body1,commander_1431_icon,3,1,14,Commander_1431_N,Commander_1431_0,Commander_1431_1,Commander_1431_2,Commander_1431_3,Commander_1431_4,0,,0,0.0,,"88,89,90,91,92,93"
1432,流影浴衣上装,轻便的浴衣，绘有美丽的图案。,Body2,commander_1432_icon,3,2,14,Commander_1432_N,Commander_1432_0,Commander_1432_1,Commander_1432_2,Commander_1432_3,Commander_1432_4,0,,0,0.0,,"113,114,115,116,117,118"
1440,流影和式纸灯,月亮问灯笼：明知投向人类会让你变得如此衰弱，为什么还要去照亮他们呢，太阳？,BodyAcco,commander_1440_icon,4,0,14,Commander_1440_N,,,,,,0,BodyBinder1,0,0.2,"-0.013,-0.086",106
1451,夏夜轻便木屐,在这个追逐梦境的夜晚，用木屐来打出节拍吧。,Foot1,commander_1451_icon,5,1,14,Commander_1451_N,Commander_1451_0,Commander_1451_1,Commander_1451_2,Commander_1451_3,Commander_1451_4,0,,0,0.0,,"94,95,96,97,98,99"
1452,流影梦境裙裾,不需要去追逐夜晚和梦境，用美让它驻留。,Foot2,commander_1452_icon,5,2,14,Commander_1452_N,Commander_1452_0,Commander_1452_1,Commander_1452_2,Commander_1452_3,Commander_1452_4,0,,0,0.0,,"119,120,121,122,123,124"
1510,裂变佛光,不要感到羞耻，这正是你绝顶实力的证明。,Head,commander_1510_icon,1,0,15,Commander_1510_N,,,,,,0,,0,0.0,,125
1611,涂发胶的大哥飞机头,头发这样立起来方便挡太阳罢了，没什么别的原因，只是刚刚好看起来有那么一丝丝一点点的像飞机头而已。这可不是飞机头，我怎么会去留什么飞机头，毕竟我也不是什么不良。,Head1,commander_1611_icon,1,1,16,Commander_1611_N,Commander_1611_0,Commander_1611_1,Commander_1611_2,Commander_1611_3,Commander_1611_4,0,,0,0.0,,"126,127,128,129,130,131"
1612,吹好造型的大姐披发,像被台风刮过？？？我可是仔仔细细吹了两个小时！！！俩小时！,Head2,commander_1612_icon,1,2,16,Commander_1612_N,Commander_1612_0,Commander_1612_1,Commander_1612_2,Commander_1612_3,Commander_1612_4,0,,0,0.0,,"132,133,134,135,136,137"
