id,text
102101,♪Сакварлис саплавс ведзебди
102102,♪Вер внахе дакаргулико
102103,♪Гуламосквнили втироди
102104,♪Сада хар чемо Сулико?
102105,♪Гуламосквнили втироди
102106,♪Сада хар чемо Сулико? 
106501,♪Wir schlucken Staub beim Wandern
106502,♪Er hängt des Säckel hohl
106503,♪Der Kaiser schluckt ganz Flandern
106504,♪Bekommt ihm ewig wohl
106505,♪Er denkt beim Länderschmanse
106506,♪Wie er die Welt erwürb
106507,♪Mir wohnt ein Lieb zu Hause
106508,♪Das weinte wenn ich stürb
110101,♪If you miss 
110102,♪the train I'm on
110103,♪You will know 
110104,♪that I am gone
110105,♪You can hear 
110106,♪the whistle blow 
110107,♪a hundred miles
110108,♪a hundred miles
110109,♪a hundred miles
110110,♪a hundred miles
110111,♪a hundred miles
110112,…???
111401,♪You turn to me in all your wordly 
111402,♪greed and pride
111403,♪But will you turn to me 
111404,♪when it's your turn to die 
111405,♪Lord of shadow
111406,♪Evil Possessor
111407,♪Lord of shadow
111408,♪he's your confessor now！ 
111501,♪Nuapurista kuulu se polokan tahti
111502,♪Jalakani pohjii kutkutti
111503,♪Ievan äiti se tyttöösä vahti
111504,♪Vaan kyllähän ieva sen jutkutti
111505,♪Sillä ei meitä silloin kiellot haittaa
111506,♪Kun myö tanssimme laiasta laitaan
111507,♪Salivili hipput tupput täppyt
111508,♪Äppyt tipput hilijalleen
111509,♪Ievan suu oli vehnäsellä
111510,♪Ko immeiset onnee toevotti
111511,♪Peä oli märkänä jokaisella
111512,♪Ja viulu se vinku ja voevotti
111513,♪Ei tätä poikoo märkyys haittaa
111514,♪Sillon ko laskoo laiasta laitaan
111515,♪Salivili hipput tupput täppyt
111516,♪Äppyt tipput hilijalleen
112201,♪Schlafe//c holder
112202,♪süßer Knabe
112203,♪Leise wiegt dich deiner…
112204,…
112901,♪蒹葭苍苍，白露为霜
112902,♪所谓伊人，在水一方
112903,♪溯洄从之，道阻且长
112904,♪溯游从之，宛在水中央
117101,♪Pourquoi 
117102,♪le loup mange l'agneau? 
117103,♪le lièvre et la tortue ?
117104,♪les anges ont-ils des ailes ?
117105,♪le diable et le bon Dieu ?
118801,♪Bruschetta
118802,♪Pizzette Margherita
118803,♪Pomodorini Ripieni
118804,♪Lasagne al Pomodoro
118805,♪Penne all' Arrabbiata
118806,♪Involtini di Asparagi 
118807,♪Che buono！
118808,♪Che bonta'！
119401,♪곰 세마리가 한집에 있어
119402,♪아빠곰 엄마곰 애기곰
119403,♪아빠곰은 뚱뚱해
119404,♪엄마곰은 날씬해
119405,♪애기곰은 너무 귀여워
119406,♪으쓱으쓱 잘한다
119601,♪al' na tebe nikada//c jedina moja//c ja ne zaboravljam
119602,♪Bog mi te dao
119603,♪drugi uzeo
119604,♪moju srecu//c moju ljubav
119605,♪neko drugi odnio
119606,♪A bili smo//c bili
119607,♪samo ti i ja
119608,♪k'o dva majska cvjeta
119609,♪k'o dva bjela goluba
119610,♪k'o dva bjela goluba
190243,本重装部队尚未加入情报解析，暂时无法使用重装通用数据解锁或晋升
260101,诶，指挥官，您怎么在这儿？
260102,这里有我一个人就好了……诶？
260103,您说什么？……两个人之间的事？
260104,我不太懂。不过，您会教给我吧？
260201,指挥官，和您结下这份契约…
260202,是我生命中最满足的时刻
260203,今后请让我将更多的荣耀
260204,带到您的面前吧！
260301,诶？我的心意……被回应了吗？
260302,明明没什么讨人喜欢的地方
260303,但是这一天突然就到来了
260304,原来……我是这样的幸运，对吗，指挥官！
260401,感谢您一直的照顾，但是指挥官…
260402,我真的是您合适的人选吗？
260403,……不，我很乐意！从此刻开始
260404,请让我永远地守护您，这是我毕生的荣耀！
260501,哦？是吗？能获得您的认可
260502,说明我真正的价值，终于被您看到了
260503,请让我继续与您同在
260504,一起扫清前方的道路！
260601,哎呀，结果您还是落到我的手心呢
260602,放心啦指挥官，我也是认真的
260603,毕竟我和您相识了那么多年……没那么久吗？
260604,放心啦，会有那么久的，嘻嘻。
260701,虽然今天是个重要的日子，不过也别太紧张哦
260702,……放心吧，无论此刻还是将来
260703,你都会做好自己的事情
260704,这一点，我是不会看走眼的
2190101,（叹气）怎么会是这样的结果，我真的没料到呢
2190102,和您闹了这么多别扭
2190103,这次，就当作被您捉弄一回吧
2190104,不过别想着就这么算了哦
2190105,（冷笑）乖乖躺在我的手心里吧
2190201,指挥官……终于迎来这一刻了……
2190202,接触的人和事太多了之后，反而连自己都有些迷失了
2190203,一直以来，是您在关键的时候把我拉了回来
2190204,感谢您，请让我今后留在您身边
2190205,成为您最信任的同伴吧
2190301,指挥官，这个……真的要给我吗？
2190302,无论什么地方都很渺小的我
2190303,也可以陪在您的身边吗？
2190304,…………嗯！我会的！
2190401,长官，都是因为您的开导和协助
2190402,我才能在大家面前扮演好自己的形象
2190403,现在的我已经没事了
2190404,只要您在身边
2190405,我就能鼓起勇气，面对任何困难
2190501,指挥官，有什么指示吗？
2190502,……诶？您认真的？是看上了我的厨艺？
2190503,……总之啊，现在后悔可来不及了
2190504,啊哈哈！我可不会放您走啦！
2190601,诶……这件事，我从来没计算过呢
2190602,不过，一生一次的事
2190603,就不需要笔记了吧？
2190604,指挥官，我会铭记这一刻的
2310101,终于迎来这一天了吗？
2310102,感谢您的陪伴 指挥官，我的使命终于完成了……
2310103,啊，让我放首音乐庆祝一下吧！
2310104,……诶，不用了吗？
2310201,我从来没有想过，依靠别人会有什么意义
2310202,但是只要在你面前，“做不到”就变得不那么可怕了。
2310203,（思索）我是变强了，还是变弱了……
2310204,（坚定）长官，就由你来告诉我答案吧。
2310301,诶？指挥官，您这是做什么
2310302,……一直都被您照顾着
2310303,总觉得……太不好意思了。
2310304,看来我也必须变得再可靠一点，才能回应您的期待啊♪
2310501,一直这样缠着你，还担心会令你厌烦
2310502,可是我没办法不这样做
2310503,大概……这就是一开始就决定好的吧……
2310504,不过现在没关系了，你给予了我新的灵魂
2310505,让我重新呼唤你一次吧//nDarling……
