task_id,type,task_name,size,ticket_num,title,content,is_mutex,function_control_id,task_type_id
1,general,mission_common_win,3,1,普通战役挑战,战斗胜利情况下挑战任意普通战役3次,1,0,1
2,general,mission_night_win,1,1,夜战战役挑战,战斗胜利情况下挑战任意夜战战役1次,1,0,2
3,general,mission_emergent_win,2,1,紧急战役挑战,战斗胜利情况下挑战任意紧急战役2次,1,0,3
4,general,collect_gun,5,1,救援人形,在任意关卡或战斗中累计救援任意人形5个,0,0,4
5,general,eat_gun,5,1,人形强化,进行5次人形强化,0,0,5
6,general,eat_equip,5,1,装备强化,进行5次装备强化,0,0,6
7,general,consume_iop_contract,4,1,消耗人形制造契约,累计消耗人形制造契约*4,2,0,7
8,general,consume_equip_contract,4,1,消耗装备制造契约,累计消耗装备制造契约*4,2,0,8
9,general,consume_quick_develop,4,1,消耗快速制造契约,累计消耗快速制造契约*4,0,0,9
10,general,consume_quick_reinforce,4,1,消耗快速修复契约,累计消耗快速修复契约*4,0,0,10
11,general,consume_mp,1500,1,消耗人力,累计消耗人力*1500（自律除外）,0,0,11
12,general,consume_ammo,1500,1,消耗弹药,累计消耗弹药*1500（自律除外）,0,0,12
13,general,consume_mre,1500,1,消耗口粮,累计消耗口粮*1500（自律除外）,0,0,13
14,general,consume_part,500,1,消耗零件,累计消耗零件*500（自律除外）,0,0,14
15,general,friends_battery,10,1,获得好友电池,累计从好友处获得10次共享电池,0,0,110
16,general,love_collect,20,1,爱心搜集,累计搜集20个爱心（包括战术人形与格琳娜）,0,0,16
17,general,borrow_friend_team,3,1,使用好友梯队,累计使用3次好友的支援梯队,0,0,17
18,difficulty,gain_hg,3,1,获得HG战术人形,获得任意手枪战术人形*3,3,0,18
19,difficulty,gain_smg,3,1,获得SMG战术人形,获得任意冲锋枪战术人形*3,3,0,19
20,difficulty,gain_ar,3,1,获得AR战术人形,获得任意突击步枪战术人形*3,3,0,20
21,difficulty,gain_mg,3,1,获得MG战术人形,获得任意机枪战术人形*3,3,0,21
22,difficulty,gain_rf,3,1,获得RF战术人形,获得任意步枪战术人形*3,3,0,22
23,difficulty,gain_fittings,3,1,配件装备,获得任意配件类装备*3,4,0,23
24,difficulty,gain_magazine,3,1,弹匣装备,获得任意弹匣类装备*3,4,0,24
25,difficulty,gain_equipment,3,1,人形装备,获得任意人形类装备*3,4,0,25
26,difficulty,special_develop_gun,1,1,人形重造,进行1次人形重型制造,5,0,26
27,difficulty,special_develop_equip,1,1,装备重造,进行1次装备重型制造,5,0,27
28,difficulty,operation_quick_develop,1,1,行动回报-快速制造契约,通过后勤支援获得快速制造契约*1,7,0,28
29,difficulty,operation_quick_reinforce,1,1,行动回报-快速修复契约,通过后勤支援获得快速修复契约*1,7,0,29
30,difficulty,operation_equip_contract,1,1,行动回报-装备制造契约,通过后勤支援获得装备制造契约*1,7,0,30
31,difficulty,operation_iop_contract,1,1,行动回报-人形制造契约,通过后勤支援获得人形制造契约*1,7,0,31
32,difficulty,win_boss,5,1,消灭BOSS,战斗胜利情况下消灭5个BOSS,0,0,32
33,difficulty,win_armorrobot,10,1,装甲机械铁血兵,战斗胜利情况下消灭10个装甲机械铁血兵,0,0,33
34,difficulty,win_robot,20,1,普通机械铁血兵,战斗胜利情况下消灭20个普通机械铁血兵,0,0,34
35,difficulty,win_person,30,1,普通人形铁血兵,战斗胜利情况下消灭30个普通人形铁血兵,0,0,35
36,difficulty,operation_duration,43200,1,累计后勤支援时长,在后勤支援完成的情况下累计后勤43200小时,0,0,36
37,difficulty,consume_voucher,30,1,消耗校准点券,累计消耗校准点券*30,0,0,37
38,difficulty,simulated_warfare,2,1,模拟作战,累计进行模拟作战2次,0,0,38
39,difficulty,upgrade,1,1,技能升级,进行1次技能升级（人形、妖精皆可）,0,0,39
40,difficulty,s_win,10,1,战斗大师,以S评价完成10场战斗,0,0,40
41,recharge,auto_mission,1,1,自律作战,任意关卡完成自律作战1次,0,0,41
42,recharge,get_lollipop,1,1,波板糖,累计获得波板糖*1（可通过退库2星、3星家具获得）,8,0,42
43,recharge,get_icecream,1,1,脆皮甜筒,累计获得脆皮甜筒*1（可通过退库4星家具获得）,8,0,43
44,recharge,friend_greeting,1,1,好友问候,通过聊天向好友问候1次,0,0,44
45,recharge,upvote,20,1,点赞使者,累计点赞他人宿舍20次,0,0,45
46,recharge,open_gift,10,1,礼物赠送,累计赠送礼物10份,0,0,47
47,recharge,consume_build_coin,100,1,消耗电池,累计消耗电池*100,0,0,48
48,recharge,get_core,3,1,获得核心,累积获得核心*3,0,0,49
