id,code_a,description_a,description_b,description_c,code_b,is_manual_target,use_fairy_ui
10001,Boomer,我方梯队,歌莉娅,拾取,Console_Icon,0,0
10002,Boomer,我方梯队,歌莉娅,投掷,Console_Icon,2,0
10101,Build_PortableEMP,我方梯队,EMP手雷,拾取,Console_Icon,0,0
10102,Build_PortableEMP,我方梯队,EMP手雷,投掷,Console_Icon,2,0
363001,Boomer,我方梯队,？？？,预置爆破,Squad_Icon,0,0
363002,Build_PortableEMP,我方梯队,？？？,扔出,Squad_Icon,2,0
381401,GunBox,我方梯队,零件箱,拾取,Squad_Icon,0,0
381434,GunBox,我方梯队,零件箱,运送_M1897,Squad_Icon,0,0
381435,GunBox,我方梯队,零件箱,运送_P90,Squad_Icon,0,0
381436,GunBox,我方梯队,零件箱,运送_M249,Squad_Icon,0,0
381437,GunBox,我方梯队,零件箱,运送_AUG,Squad_Icon,0,0
381438,GunBox,我方梯队,零件箱,运送_SVD,Squad_Icon,0,0
381501,Console,我方梯队,控制台,简单训练,Squad_Icon,0,0
381502,Console,我方梯队,控制台,困难训练,Squad_Icon,0,0
390101,Console,我方梯队,控制台,增援确认,Squad_Icon,0,0
390102,Console,我方梯队,控制台,增援确认,Squad_Icon,0,0
390103,Console,我方梯队,控制台,增援确认,Squad_Icon,0,0
390104,Console,我方梯队,控制台,增援确认,Squad_Icon,0,0
390133,AirportTower,我方梯队,？？？,Stay in hell//n【↖】,Squad_Icon,0,0
390135,AirportTower,我方梯队,？？？,Stay in hell//n【↗】,Squad_Icon,0,0
390137,AirportTower,我方梯队,？？？,Stay in hell//n【↙】,Squad_Icon,0,0
390139,AirportTower,我方梯队,？？？,Stay in hell//n【↘】,Squad_Icon,0,0
410311,Console,我方梯队,控制台,LinkStart!,Squad_Icon,0,0
410313,Console,我方梯队,控制台,协议干扰,Squad_Icon,0,0
410321,Console,我方梯队,控制台,清除干扰,Squad_Icon,0,0
410322,Console,我方梯队,控制台,清除干扰,Squad_Icon,0,0
410323,Console,我方梯队,控制台,清除干扰,Squad_Icon,0,0
410341,Console,我方梯队,控制台,清除干扰,Squad_Icon,0,0
410342,Console,我方梯队,控制台,清除干扰,Squad_Icon,0,0
410343,Console,我方梯队,控制台,清除干扰,Squad_Icon,0,0
410344,Console,我方梯队,控制台,清除干扰,Squad_Icon,0,0
410351,Console,我方梯队,控制台,激活节点,Squad_Icon,0,0
410353,PortalBlue,我方梯队,控制台,传送,Squad_Icon,1,0
410363,Boomer,我方梯队,控制台,拾取歌利亚,Squad_Icon,0,0
410364,Build_PortableEMP,我方梯队,控制台,拾取EMP手雷,Squad_Icon,0,0
410365,Boomer,我方梯队,控制台,BOOOOM!,Squad_Icon,1,0
410366,Build_PortableEMP,我方梯队,控制台,E!M!P!,Squad_Icon,1,0
411800,Console,我方梯队,雷达点A,顺时旋转//n90°,Squad_Icon,0,0
411808,Console,我方梯队,雷达点B,顺时旋转//n90°,Squad_Icon,0,0
411816,Console,我方梯队,雷达点C,顺时旋转//n90°,Squad_Icon,0,0
411824,Console,我方梯队,雷达点D,顺时旋转//n90°,Squad_Icon,0,0
411832,Console,我方梯队,雷达点E,顺时旋转//n270°,Squad_Icon,0,0
411833,Console,我方梯队,雷达点E,顺时旋转//n90°,Squad_Icon,0,0
411836,Console,我方梯队,雷达点F,顺时旋转//n270°,Squad_Icon,0,0
411837,Console,我方梯队,雷达点F,顺时旋转//n90°,Squad_Icon,0,0
420101,Console,我方梯队,防御门,开启,Console_Icon,0,0
420102,Console,我方梯队,控制台,Link Start!,Squad_Icon,0,0
420103,Console,我方梯队,控制台,切换路线,Console_Icon,0,0
420104,Console,我方梯队,记忆碎片,读取,Squad_Icon,0,0
420105,Console,我方梯队,大红按钮,按下去,Squad_Icon,0,0
420106,PortalBlue,我方梯队,传送节点,传送,Squad_Icon,1,0
420107,Console,我方梯队,控制台,激活,Squad_Icon,0,0
420108,Console,我方梯队,密码箱,激活,Squad_Icon,0,0
420109,Console,我方梯队,密码箱,关闭,Squad_Icon,0,0
440001,dandelionskill01,阴极双影,释放,释放,Squad_Icon,2,1
440002,dandelionskill02,光核熔断,释放,释放,Squad_Icon,2,1
440003,dandelionskill03,载波定瞄,释放,释放,Squad_Icon,0,1
440500,gkemblem,我方梯队,狮鹫印记,翻转,Squad_Icon,0,0
440801,Console,我方梯队,记忆碎片,读取,Squad_Icon,0,0
440911,Console,我方梯队,深层虚识图景,进入,Squad_Icon,0,0
440914,Console,我方梯队,传送点,解除,Squad_Icon,0,0
442001,Console,我方梯队,控制台,网络潜行,Squad_Icon,0,0
442011,Console,帕拉蒂斯限制器,安全限制,解除1/6,Squad_Icon,0,0
442012,Console,帕拉蒂斯限制器,安全限制,解除2/6,Squad_Icon,0,0
442013,Console,帕拉蒂斯限制器,安全限制,解除3/6,Squad_Icon,0,0
442014,Console,帕拉蒂斯限制器,安全限制,解除4/6,Squad_Icon,0,0
442015,Console,帕拉蒂斯限制器,安全限制,解除5/6,Squad_Icon,0,0
442016,Console,帕拉蒂斯限制器,安全限制,完全解除,Squad_Icon,0,0
442301,Console,我方梯队,控制台,改变连接,Squad_Icon,0,0
480101,PortalBlue,我方梯队,空白模块,转化：传送节点,Console_Icon,0,0
480102,Build_PortableEMP,我方梯队,空白模块,转化：EMP手雷塔,Console_Icon,0,0
480103,Console_P,我方梯队,空白模块,转化：数据站,Console_Icon,0,0
480111,PortalBlue,我方梯队,传送节点,传送,Console_Icon,2,0
480121,Build_PortableEMP,我方梯队,EMP手雷,拾取,Console_Icon,0,0
480122,Build_PortableEMP,我方梯队,EMP手雷,投掷,Console_Icon,2,0
480131,Console_P,我方梯队,数据站,下载数据,Console_Icon,0,0
480141,Console_P,我方梯队,空白模块,转化：修理站,Console_Icon,0,0
480151,Console_P,我方梯队,空白模块,引爆模块,Console_Icon,0,0
481412,Console_P,我方梯队,数据站,下载数据,Console_Icon,0,0
481414,Detonator,我方梯队,生产线,埋设炸药,Console_Icon,0,0
481812,EMP,我方梯队,EMP发生器,启动,Console_Icon,0,0
481813,Substation,我方梯队,变电站,启动,Console_Icon,0,0
481906,Boomer,我方梯队,武器架,武装自己,Console_Icon,0,0
481912,LiftBlue,我方梯队,电梯,搭乘,Console_Icon,2,0
481913,Console_P,我方梯队,密码台,读取密码,Console_Icon,0,0
