id,name,description,skin_theme,active_num,prize,type,icon
101,圣诞雪妖精,来自圣诞节索米小姐的一刻，但没人能明确说出发生了什么——“肯定是裙子被掀了，”AK47说，“虽然当着大家的面不知道有什么可害羞的，也就多个指挥官罢了。”“这就是演技的所在了”，马卡洛夫冷笑着评论道。,1,3,9101,外观·头像,2016xmas_01
102,格瓦斯罐车,正宗的格瓦斯，尽情畅饮才能对得起它的美味。,1,5,9102,家具·地面装饰,2016xmas_02
103,平安夜之宴,一张摄于平安夜晚宴前的宝贵照片，因为宴会开始后无论人形还是食物，她们的形象都会惨不忍睹。,1,7,9103,家具·海报,2016xmas_03
104,平安夜小屋,虽说圣诞与礼物密不可分……不过还是需要腾出来落脚的地方的。,1,9,9104,建设·基地背景,2016xmas_04
201,僵尸家里蹲,来自万圣节G11小姐的某一瞬间，据M99小姐描述“不知道发生了什么，当自己回过神时就看到G11已经这个样子了”，至于M99本人回过神之前发生了什么，也许是这个万圣节最大的谜团。,2,3,9201,外观·头像,2016halloween_01
202,猫咪独唱团,来自万圣节维克托小姐的某一瞬间，“除了指挥官没人看到过这张照片，当然也有可能看到的人都消失了，所以我就是第一……”相片旁的笔记写到这里突然中断，最后一道被拉长的字迹预示着今夜最可怕的惨剧。,2,5,9202,宿舍·海报,2016halloween_02
203,幽步喵,不知道是从何而来的猫咪，也许是被某人打扮的看不出来了而已，很喜欢跳到别人身上，似乎在嗅探什么……也许不去深究比较好。,2,7,9203,宿舍·宠物,2016halloween_03
204,万圣节惊魂,一张摄于万圣节夜间聚会时的宝贵照片，热闹的夜晚结束后，只有真的在睡觉的G11被留在原地了。,2,9,9204,宿舍·海报,2016halloween_04
301,恶魔猎人,来自汤姆森战斗的瞬间，就算是像她这样的猎手也有失手的时候，但正因为承受过更多的伤痕，所以她才如此可靠与潇洒。,3,3,9301,外观·头像,2017manwear_01
302,黑色高级摩托车,AEK999心爱的载具，但由于出行前的她会更换装束，所以只有亲密的骑行同伴才知道这辆车的存在。,3,5,9302,家具·地面装饰,2017manwear_02
303,剧院演出,一张摄于演出开场前的剧院照片，事件都在控制之中，除了指挥官到达现场时的状态。,3,7,9303,建设·基地背景,2017manwear_03
401,红包女神的微笑,拿到红包的人形们非常高兴，而DSR50小姐也收获了一个新的称号。,4,3,9401,外观·头像,2018newyear_01
402,春节酒吧,M590精心布置的除夕宴会厅，充满了东方色彩的酒吧。,4,5,9402,建设·基地背景,2018newyear_03
