id,name,rank,bonus_picture,k_bonus,bonus_number,description,bonus_description,code,is_showed,placement,years
1,万圣节,5,3000,"6:2000,9:5000,12:8000",15,万圣节源自古凯尔特人的新年，孩子们装扮成鬼怪乞讨糖果，不给糖甚至会炸掉别人的房子，非常可怕。,集齐后宿舍内会出现意想不到的现象。,ws2016_deco_small_icon,1,1,2016
2,初始,2,0,,7,IOP配发的家居。,,cs2016_chair_b_icon,1,1,2016
3,新世界(I),3,0,,15,欢迎来到美好的战后世界，在这里生存的秘诀就在于永远做好准备，保持警惕，以及只喝瓶装水。,,ft2016_deco_small_01_icon,1,1,2016
4,秋,4,0,8:2000,16,出于抚慰指挥官们疲劳心灵的目的而设计出的可爱家居套装，本次主题是温暖的秋季，似乎很受女性欢迎。,同宿舍内布置8件可获得额外舒适度。,qj2016_floordeco_icon,1,1,2016
5,新世界(II),3,0,,15,欢迎来到美好的战后世界，在这里生存的秘诀就在于永远做好准备，保持警惕，以及只喝瓶装水。,,ft2016_deco_small_01_icon,1,1,2016
6,LOFT,4,0,8:2000,16,因为贫穷只能住在旧厂房里的艺术家们创造的家居风格，却在百年后引领了战后时尚，成为指挥官们竞相追求的稀有补给。,同宿舍内布置8件可获得额外舒适度。,loft2016_bicycle_icon,1,1,2016
7,宁静日常,3,0,,16,宁静风格的家具组合，性格稳重的人形会倍感安心，让家中荡漾起水蓝色的宁静气息吧。,,sn2016_dresser_icon,1,1,2016
8,可爱日常,3,0,,16,可爱风格的家具组合，会深受性格活泼的人形喜爱，让家中洋溢起淡粉色的可爱氛围吧。,,sn2016_dresser_bs_icon,1,1,2016
9,指挥室,5,3001,"6:2000,9:5000,12:8000",16,指挥室风格的家具组合，让人形们在家中也能感受指挥官的工作日常……承诺全新，绝不是用剩下的。,集齐后宿舍内会出现意想不到的现象。,zhs2016_walldeco_01_icon,1,1,2016
10,咖啡店,3,0,,13,大战前流行的文化设施，名为补充咖啡因的饮料店，实则是平时难以集中注意力的作家的创作圣地,,kft2016_walldeco_03_icon,1,1,2016
11,暖冬和风,4,0,6:2000,13,温暖和风主题的家具组合，即使在严寒的冬季也能让人形们体味幸福的气氛，一起在房间欣赏雪花们的日常吧。,同宿舍内布置6件可获得额外舒适度。,rs2016_window_icon,1,1,2016
12,清冬和风,4,0,6:2000,13,清新和风主题的家具组合，即使在冷酷的冬季也能让人形们保持沉静的心情，一起在房间里欣赏凛冬中的日常吧。,同宿舍内布置6件可获得额外舒适度。,rs2016_table_bs_icon,1,1,2016
13,铁血工造,5,3002,"6:2000,9:5000,12:8000",17,铁血工造主题的家具组合，通过还原铁血的资料而生成的设计方案……让人形们体验一次终结者们的午后生活吧。,集齐后宿舍内会出现意想不到的现象。,tx2016_deco_big_icon,1,1,2016
14,圣诞福音,5,3003,"6:2000,9:5000,12:8000",13,圣诞主题的家具组合，在丰盛的晚宴中享受一个温暖而幸福的平安夜吧！……听，人形们都在唱什么？,集齐后宿舍内会出现意想不到的现象,sd2016_tree_icon,1,1,2016
15,便利店,3,0,,15,24小时营业的便利店是人类文明的基石，是战火纷飞下最温暖的慰藉，只要便利店还营业，一切就都不会太糟。所以意料之外情理之中的，便利店成了每个格里芬支部中防守最森严的部分。,,bld2016_floordeco_06_icon,1,1,2016
16,极地雪屋,4,0,8:2000,15,在冬季推出的极地印象家具套装。采用了很多原始风格的设计，毛绒绒的小动物们也非常可爱。,同宿舍内布置8件可获得额外舒适度。,north2016_deco_02_icon,1,1,2016
17,年夜迎春,5,3004,"6:2000,9:5000,12:8000",15,春节主题的家具组合，为我们古老的血脉心怀自豪与谦卑，一起沉浸在热闹喜悦的新春气氛中吧！,集齐后宿舍内会出现意想不到的现象。,cj2017_deco_04_icon,1,1,2017
18,游戏部门,4,0,8:2000,16,大家的老朋友IOP制造公司旗下产业涉及诸多领域，进军当下热点的移动平台游戏开发也不意外，但他们很快就意识到行业的残酷。,同宿舍内布置8件可获得额外舒适度。,sb2017_deco_05_icon,1,1,2017
19,精英徽记,5,0,"6:2000,9:5000,12:8000",20,格里芬精英梯队的徽记，仅授予那些在作战中积极踊跃的指挥官。也许，会令您想起那些与她们并肩作战的宝贵岁月。,收集更多战利品，可获得额外舒适度。,sp2017_deco_09_icon,1,0,2017
20,纪念,5,0,0,6,,,pv_2018winter_icon,2,0,2018
21,星夜幻梦,5,3005,"6:2000,9:5000,12:8000",13,情人节主题家具组合，幸福究竟是活在他人的梦里，还是成为自己故事的主人公呢？,集齐后宿舍内会出现意想不到的现象。,qrj2017_deco_01_icon,1,1,2017
22,春日课堂,4,0,8:2000,15,教室主题的家具组合，无论想要逃离还是回味，请从往日的风景中开始你的故事吧！,同宿舍内布置8件可获得额外舒适度。,js2017_desk_c_icon,1,1,2017
23,假日漫步,4,0,8:2000,13,街景主题的家具组合，享受一个浪漫的假期吧，不过你想在这一天与谁邂逅呢？,同宿舍内布置8件可获得额外舒适度。,lm2017_deco_04_icon,1,1,2017
24,博物之路,5,3006,"6:2000,9:5000,12:8000",14,博物馆主题的家具组合，震撼或是深思，请在这个世界的中心继续你的表演吧。,集齐后宿舍内会出现意想不到的现象。,bwg2017_deco_07_icon,1,1,2017
25,地铁2063,5,3007,"6:2000,9:5000,12:8000",13,地下铁主题的家具组合，在埋没于昔日的文明枢纽中，体会那些擦肩而过的人生吧。,集齐后宿舍内会出现意想不到的现象。,dtz2017_walldeco_02_icon,1,1,2017
26,五彩社团,4,0,8:2000,13,社团活动主题的家具组合，忙碌的生活总伴随无法取代的记忆，铭记它们，珍惜它们吧！,同宿舍内布置8件可获得额外舒适度。,xsh2017_deco_02_icon,1,1,2017
27,都市摄影棚,4,0,8:2000,13,一个好的摄影棚，在有经验的摄影大师掌控下，配合全套的专业设备，拍出的照片几乎能媲美少女们用手机的自拍，几乎。,同宿舍内布置8件可获得额外舒适度。,syp2017_deco_03_icon,1,1,2017
28,月光舞会,5,3008,"6:2000,8:5000,10:8000",11,为了庆祝一周年而举办的盛大舞会，难得能见到战术少女们卸下武装后的姣好身姿，好好享受这短暂的和平时光吧，指挥官。,集齐后宿舍内会出现意想不到的现象。,yht2017_deco_03_icon,1,1,2017
29,童心园,4,0,8:2000,13,儿童玩具为主题的家具组合，这里曾经是一整个世界，虽然会随着岁月而缩小，但永远不会消失。,同宿舍内布置8件可获得额外舒适度。,etj2017_deco_02_icon,1,1,2017
30,糖果小镇,5,3009,"6:2000,9:5000,12:8000",12,糖果为主题的家具组合，欢迎来到梦中的糖果镇，但请为后面的游客着想，不要一次吃掉太多哦。,集齐后宿舍内会出现意想不到的现象。,tgw2017_table_icon,1,1,2017
31,幻想遗产,5,0,0,6,在各类奇异事件中收获的珍贵纪念。传说也许从未发生于世间，但依然真实存在于我们的心中……//n,,SP_GGBB_1A_icon,3,0,0
32,海边小屋,4,0,8:2000,16,海边休息室为主题的家具组合，海边小屋只是个可爱的昵称，谁不想要个更豪华的假期呢？,同宿舍内布置8件可获得额外舒适度。,gys2017_deco_01_icon,1,1,2017
33,明媚沙滩,5,3010,"6:2000,8:5000,12:8000",15,沙滩外景为主题的家具组合，尽情享受这一切吧，人类已经很难有这样的机会了。,集齐后宿舍内会出现意想不到的现象。,sz2017_deco_03_icon,1,1,2017
34,去首尔吧,4,0,8:2000,15,韩国都市为主题的家具组合，请坐下来，安静地欣赏那些来自回忆中的新潮旋律吧。,同宿舍内布置8件可获得额外舒适度。,kr2017_deco_01_icon,1,1,2017
35,泡温泉啦,5,3011,"6:2000,8:5000,12:8000",14,日本温泉为主题的家具组合，全身沐浴在温热的泉水中，欣赏那些来自旧日的小小歌谣吧。,集齐后宿舍内会出现意想不到的现象。,wq2017_chair_icon,1,1,2017
36,酒与避难所,3,0,,17,避难所为主题的家具组合，驻守在污染区的人形对人类旧日的文明充满好奇，她们收集着遗物并模仿他们去生活。,,sh2017_walldeco_03_icon,1,1,2017
37,大藏书馆,5,3012,"6:2000,8:5000,12:8000",16,图书馆为主题的家具组合，格里芬的秘密书友会此刻为您敞开，这里记录着人形们对于人类读书格言的宝贵感想！,集齐后宿舍内会出现意想不到的现象。,tsg2017_deco_03_icon,1,1,2017
38,深夜厨房,4,0,8:2000,13,厨房为主题的家具组合，人形们会结伴来到这里忙碌，然后留下一个个温馨的故事……有的时候。,同宿舍内布置8件可获得额外舒适度。,cf2017_deco_01_A_icon,1,1,2017
39,万圣镇,5,3013,"6:2000,8:5000,12:8000",15,万圣节小镇为主题的家具组合，调查你所看到的一切，努力从这里逃脱吧，不然的话……也没什么问题，只要你住得习惯。,集齐后宿舍内会出现意想不到的现象。,ws2017_chair_01_A_icon,1,1,2017
40,花房茶会,4,0,8:2000,14,原野中的花房为主题的家具组合，“希望自己被爱的时候，请先爱上那些无名的花朵吧！”,同宿舍内布置8件可获得额外舒适度。,hf2017_deco_05_icon,1,1,2017
41,王之裁缝,4,0,8:2000,16,特工裁缝店为主题的家具组合，接受任务，然后优雅地完成它，维护世界和平就是这么简单。,同宿舍内布置8件可获得额外舒适度。,cfd2017_deco_07_icon,1,1,2017
42,壮志凌云,5,3014,"6:2000,9:5000,12:8000",15,飞行设备为主题的家具组合，我们尝试过征服天空，然后在天空中征服彼此，这里是关于这一切的记录。,集齐后宿舍内会出现意想不到的现象。,fj2017_deco_06_icon,1,1,2017
43,发薪日,4,0,8:2000,15,地下银行为主题的家具组合，只是个装饰用的主题，即使身无分文的人形也可以在里面为所欲为，别呆太久，也别当真。,同宿舍内布置8件可获得额外舒适度。,bank2017_deco_05_icon,1,1,2017
44,圣诞小屋,5,3015,"6:2000,9:5000,12:8000",12,圣诞小屋为主题的家具组合，在充满民族风情的小房间中，尽情享受节日的温馨与同伴的喜悦吧！,集齐后宿舍内会出现意想不到的现象。,sd2017_deco_03_icon,1,1,2017
45,海盗遗产,4,0,8:2000,15,海盗船舱为主题的家具组合，这属于几百年前一部分人的生活，在漂泊中享乐、争斗然后活着或死去，和现在的人一样。,同宿舍内布置8件可获得额外舒适度。,hdc2018_deco_01_A_icon,1,1,2018
46,像素森林,5,3016,"6:2000,9:5000,12:8000",12,像素森林为主题的家具组合，开始一场宏大的冒险吧！就算他人眼中这只是小孩子的游戏……难道小孩子不是最让人羡慕的吗？,集齐后宿舍内会出现意想不到的现象。,xs2018_deco_01_icon,1,1,2018
47,单车日记,4,0,8:2000,14,以自行车和摩托车店为主题的家具组合，每个人都有至少一个瞬间想去远方，除了诗，你还需要它，和买下它们的钞票。,同宿舍内布置8件可获得额外舒适度。,zxc2018_deco_07_icon,1,1,2018
48,关东往事,5,3017,"6:2000,9:5000,12:8000",15,雪中新年为主题的家具组合，大地上曾有一群人，生活的全部都是为了这一声“过年好”，所以享受其中吧，趁一切还未老去。,集齐后宿舍内会出现意想不到的现象。,xn2018_deco_05_icon,1,1,2018
